Date,"Ar, cm-3 (100 km)","Ar, cm-3 (150 km)","Ar, cm-3 (200 km)","Ar, cm-3 (250 km)","Ar, cm-3 (300 km)","Ar, cm-3 (350 km)","Ar, cm-3 (400 km)","Ar, cm-3 (450 km)","Ar, cm-3 (500 km)","Ar, cm-3 (550 km)","Ar, cm-3 (600 km)","Ar, cm-3 (650 km)","Ar, cm-3 (700 km)","Ar, cm-3 (750 km)","Ar, cm-3 (800 km)","Ar, cm-3 (850 km)","Ar, cm-3 (900 km)","Ar, cm-3 (950 km)","Ar, cm-3 (1000 km)"
01/01/1996,132400000000,42750000,1026000,40050,1762,82.25,4.029,0.2064,0.01105,0.0006168,0.0000359,0.000002177,0.0000001373,0.000000009011,6.142E-10,4.345E-11,3.189E-12,2.426E-13,1.912E-14
01/02/1996,129700000000,43700000,1049000,41180,1823,85.65,4.223,0.2178,0.01173,0.0006592,0.00003862,0.000002356,0.0000001496,0.000000009871,6.768E-10,4.817E-11,3.556E-12,2.72E-13,2.155E-14
01/03/1996,130900000000,41810000,927300,33560,1368,59.22,2.692,0.1281,0.006376,0.0003315,0.00001798,0.000001017,0.00000005992,0.000000003675,2.343E-10,1.553E-11,1.068E-12,7.622E-14,5.639E-15
01/04/1996,120400000000,42690000,980500,38270,1703,80.64,4.01,0.2085,0.01132,0.0006417,0.0000379,0.00000233,0.0000001491,0.000000009918,6.853E-10,4.914E-11,3.655E-12,2.817E-13,2.248E-14
01/05/1996,115200000000,39870000,905100,34570,1500,69.2,3.353,0.1699,0.009,0.0004974,0.00002866,0.00000172,0.0000001075,0.000000006983,4.714E-10,3.304E-11,2.402E-12,1.811E-13,1.414E-14
01/06/1996,109400000000,37460000,847400,30950,1269,55.18,2.519,0.1204,0.006019,0.0003142,0.00001712,0.000000972,0.0000000575,0.00000000354,2.266E-10,1.507E-11,1.041E-12,7.455E-14,5.536E-15
01/07/1996,101500000000,38440000,901000,33470,1389,61.09,2.819,0.1362,0.006879,0.0003628,0.00001996,0.000001145,0.00000006841,0.000000004253,2.749E-10,1.845E-11,1.286E-12,9.298E-14,6.967E-15
01/08/1996,98090000000,41850000,1044000,42650,1968,96.38,4.95,0.2658,0.01489,0.0008704,0.00005299,0.000003358,0.0000002213,0.00000001515,0.000000001078,7.949E-11,6.079E-12,4.816E-13,3.95E-14
01/09/1996,108900000000,41600000,941900,35010,1467,65.3,3.051,0.1492,0.007628,0.0004072,0.00002267,0.000001316,0.00000007951,0.000000004999,3.267E-10,2.218E-11,1.563E-12,1.142E-13,8.645E-15
01/10/1996,118000000000,42670000,930800,33910,1399,61.37,2.828,0.1364,0.006881,0.0003625,0.00001992,0.000001141,0.00000006809,0.000000004228,2.729E-10,1.83E-11,1.274E-12,9.201E-14,6.887E-15
01/11/1996,128500000000,42380000,955100,36230,1560,71.47,3.437,0.173,0.009094,0.000499,0.00002856,0.000001702,0.0000001056,0.000000006818,4.572E-10,3.184E-11,2.3E-12,1.723E-13,1.337E-14
01/12/1996,133400000000,42600000,1074000,46630,2321,123.1,6.848,0.3979,0.0241,0.001521,0.00009987,0.000006819,0.0000004837,0.00000003561,0.00000000272,2.153E-10,1.765E-11,1.498E-12,1.314E-13
01/01/1997,132700000000,42730000,1038000,40860,1807,84.77,4.172,0.2147,0.01154,0.0006472,0.00003784,0.000002304,0.000000146,0.000000009616,6.581E-10,4.675E-11,3.444E-12,2.631E-13,2.081E-14
01/02/1997,132600000000,42430000,988200,36900,1544,68.53,3.192,0.1556,0.00793,0.0004219,0.00002342,0.000001355,0.00000008164,0.000000005117,3.335E-10,2.257E-11,1.586E-12,1.155E-13,8.725E-15
01/03/1997,122300000000,45810000,1125000,46520,2188,109.5,5.749,0.3154,0.01806,0.001078,0.00006698,0.000004332,0.0000002913,0.00000002035,0.000000001476,1.11E-10,8.651E-12,6.984E-13,5.834E-14
01/04/1997,118700000000,43810000,1062000,44580,2147,110.2,5.939,0.3344,0.01964,0.001202,0.00007657,0.000005075,0.0000003496,0.00000002501,0.000000001856,1.429E-10,1.139E-11,9.405E-13,8.033E-14
01/05/1997,101300000000,46320000,1233000,58180,3182,185.9,11.39,0.7286,0.04851,0.00336,0.0002419,0.00001808,0.000001402,0.0000001127,0.000000009391,8.097E-10,7.223E-11,6.66E-12,6.344E-13
01/06/1997,106900000000,38750000,930400,36990,1663,79.41,3.978,0.2084,0.0114,0.0006505,0.00003869,0.000002395,0.0000001543,0.00000001033,7.186E-10,5.187E-11,3.882E-12,3.011E-13,2.418E-14
