Date,Central PA,Linear Speed ,MPA,20R Speed,Width,ssn
1/11/1996,267,499,272,0,18,0
1/12/1996,266,394.5,269,186,17,0
1/13/1996,265,290,266,372,16,0
1/14/1996,263.5,407.5,269,186,29.5,0
1/15/1996,262,525,272,0,43,0
1/16/1996,239.571428571429,488.142857142857,247.857142857143,0,42.1428571428571,0
1/17/1996,217.142857142857,451.285714285714,223.714285714286,0,41.2857142857143,0
1/18/1996,194.714285714286,414.428571428571,199.571428571429,0,40.4285714285714,0
1/19/1996,172.285714285714,377.571428571429,175.428571428571,0,39.5714285714286,0
1/20/1996,149.857142857143,340.714285714286,151.285714285714,0,38.7142857142857,10
1/21/1996,127.428571428571,303.857142857143,127.142857142857,0,37.8571428571429,0
1/22/1996,105,267,103,0,37,0
1/23/1996,101.25,265.75,99.75,80.5,34.5,13
1/24/1996,97.5,264.5,96.5,161,32,10
1/25/1996,93.75,263.25,93.25,241.5,29.5,10
1/26/1996,90,262,90,322,27,10
1/27/1996,126.8,241.2,126.4,257.6,31,12
1/28/1996,163.6,220.4,162.8,193.2,35,10
1/29/1996,200.4,199.6,199.2,128.8,39,19
1/30/1996,237.2,178.8,235.6,64.4,43,13
1/31/1996,274,158,272,0,47,16
2/1/1996,210.333333333333,207.333333333333,208,103,48.6666666666667,16
2/2/1996,146.666666666667,256.666666666667,144,206,50.3333333333333,12
2/3/1996,83,306,80,309,52,0
2/4/1996,119,281.6,113.8,247.2,55.6,0
2/5/1996,155,257.2,147.6,185.4,59.2,0
2/6/1996,191,232.8,181.4,123.6,62.8,0
2/7/1996,227,208.4,215.2,61.8,66.4,0
2/8/1996,263,184,249,0,70,0
2/9/1996,220,178,209.75,59,65.75,0
2/10/1996,177,172,170.5,118,61.5,0
2/11/1996,134,166,131.25,177,57.25,0
2/12/1996,91,160,92,236,53,0
2/13/1996,109.3,176.8,109.8,323.9,53.3,0
2/14/1996,127.6,193.6,127.6,411.8,53.6,12
2/15/1996,145.9,210.4,145.4,499.7,53.9,0
2/16/1996,164.2,227.2,163.2,587.6,54.2,0
2/17/1996,182.5,244,181,675.5,54.5,0
2/18/1996,140.25,255,137.5,810.75,42.25,0
2/19/1996,98,266,94,946,30,14
2/20/1996,97.1666666666667,252.833333333333,93.3333333333333,881.916666666667,30.5,17
2/21/1996,96.3333333333333,239.666666666667,92.6666666666667,817.833333333333,31,14
2/22/1996,95.5,226.5,92,753.75,31.5,14
2/23/1996,94.6666666666667,213.333333333333,91.3333333333333,689.666666666667,32,29
2/24/1996,93.8333333333333,200.166666666667,90.6666666666667,625.583333333333,32.5,23
2/25/1996,93,187,90,561.5,33,14
2/26/1996,92.1666666666667,173.833333333333,89.3333333333333,497.416666666667,33.5,12
2/27/1996,91.3333333333333,160.666666666667,88.6666666666667,433.333333333333,34,14
2/28/1996,90.5,147.5,88,369.25,34.5,16
2/29/1996,89.6666666666667,134.333333333333,87.3333333333333,305.166666666667,35,0
3/1/1996,88.8333333333333,121.166666666667,86.6666666666667,241.083333333333,35.5,0
3/2/1996,88,108,86,177,36,0
3/3/1996,99,186,99,215,26,12
3/4/1996,155.333333333333,182.333333333333,153,187.5,35.6666666666667,0
3/5/1996,211.666666666667,178.666666666667,207,160,45.3333333333333,19
3/6/1996,268,175,261,132.5,55,12
3/7/1996,74,130,70,105,41,0
3/8/1996,90,170,85,189,19,0
3/9/1996,84,93,82,0,39,0
3/10/1996,85,168.5,79.5,328,45.5,22
3/11/1996,86,244,77,656,52,22
3/12/1996,95.5,187,91.5,484,34.5,22
3/13/1996,105,130,106,312,17,18
3/14/1996,193,246,195.5,239.5,40.5,17
3/15/1996,88.5,146.5,89.5,292,27.5,14
3/16/1996,262,65,267,292,27,12
3/17/1996,235.5,111.5,239.333333333333,252,26.6666666666667,12
3/18/1996,209,158,211.666666666667,212,26.3333333333333,11
3/19/1996,227.25,154,229.75,216,24,0
3/20/1996,245.5,150,247.833333333333,220,21.6666666666667,17
3/21/1996,263.75,146,265.916666666667,224,19.3333333333333,22
3/22/1996,282,142,284,228,17,22
3/23/1996,280.636363636364,146.545454545455,282.090909090909,229.636363636364,18.8181818181818,19
3/24/1996,279.272727272727,151.090909090909,280.181818181818,231.272727272727,20.6363636363636,18
3/25/1996,277.909090909091,155.636363636364,278.272727272727,232.909090909091,22.4545454545455,32
3/26/1996,276.545454545455,160.181818181818,276.363636363636,234.545454545455,24.2727272727273,29
3/27/1996,275.181818181818,164.727272727273,274.454545454545,236.181818181818,26.0909090909091,25
3/28/1996,273.818181818182,169.272727272727,272.545454545455,237.818181818182,27.9090909090909,14
3/29/1996,272.454545454545,173.818181818182,270.636363636364,239.454545454545,29.7272727272727,0
3/30/1996,271.090909090909,178.363636363636,268.727272727273,241.090909090909,31.5454545454545,0
3/31/1996,269.727272727273,182.909090909091,266.818181818182,242.727272727273,33.3636363636364,0
4/1/1996,268.363636363636,187.454545454545,264.909090909091,244.363636363636,35.1818181818182,14
4/2/1996,267,192,263,246,37,16
4/3/1996,257,235.666666666667,255,286.333333333333,36,11
4/4/1996,265,279.333333333333,263,326.666666666667,41.5,0
4/5/1996,273,323,271,367,47,0
4/6/1996,268,293,270,350,37,0
4/7/1996,258,324,269,488,42,0
4/8/1996,209.666666666667,188.666666666667,210,185.666666666667,22,0
4/9/1996,169.111111111111,216.444444444444,169.666666666667,224.777777777778,31,0
4/10/1996,128.555555555556,244.222222222222,129.333333333333,263.888888888889,40,0
4/11/1996,88,272,89,303,49,13
4/12/1996,275,100,272,154,57,11
4/13/1996,263.5,135.5,259.5,153,42.5,0
4/14/1996,226.75,116.25,222.5,76.5,31,0
4/15/1996,190,97,185.5,0,19.5,0
4/16/1996,142,161,139.75,136,16.25,14
4/17/1996,94,225,94,272,13,27
4/18/1996,116.25,220.125,117.75,261.625,19.875,16
4/19/1996,138.5,215.25,141.5,251.25,26.75,25
4/20/1996,160.75,210.375,165.25,240.875,33.625,17
4/21/1996,183,205.5,189,230.5,40.5,17
4/22/1996,205.25,200.625,212.75,220.125,47.375,11
4/23/1996,227.5,195.75,236.5,209.75,54.25,11
4/24/1996,249.75,190.875,260.25,199.375,61.125,0
4/25/1996,272,186,284,189,68,0
4/26/1996,236,155.75,250.25,185.6,141,0
4/27/1996,200,125.5,216.5,182.2,214,0
4/28/1996,164,95.25,182.75,178.8,287,0
4/29/1996,128,65,149,175.4,360,0
4/30/1996,92,112,89,172,56,0
5/1/1996,94,314,70,322,95,0
5/2/1996,86.5,225,97,250,63,0
5/3/1996,92,325,78,334,62,0
5/4/1996,92.5,352.75,78.25,358,62.25,0
5/5/1996,93,380.5,78.5,382,62.5,15
5/6/1996,88,430,83,404,73,17
5/7/1996,124,439.2,120.2,421,70,18
5/8/1996,160,448.4,157.4,438,67,17
5/9/1996,196,457.6,194.6,455,64,20
5/10/1996,232,466.8,231.8,472,61,25
5/11/1996,268,476,269,489,58,22
5/12/1996,205,418.666666666667,206.333333333333,526,56.6666666666667,21
5/13/1996,142,361.333333333333,143.666666666667,563,55.3333333333333,20
5/14/1996,79,304,81,600,54,15
5/15/1996,174.5,307,175,476,53,13
5/16/1996,270,310,269,352,52,11
5/17/1996,271,289.5,268,246.5,60,11
5/18/1996,272,269,267,141,68,0
5/19/1996,250,251.625,246.625,134.875,59.125,11
5/20/1996,228,234.25,226.25,128.75,50.25,0
5/21/1996,206,216.875,205.875,122.625,41.375,0
5/22/1996,184,199.5,185.5,116.5,32.5,0
5/23/1996,207.333333333333,196.333333333333,212,221.666666666667,31.6666666666667,0
5/24/1996,230.666666666667,193.166666666667,238.5,326.833333333333,30.8333333333333,0
5/25/1996,254,190,265,432,30,0
5/26/1996,255.666666666667,208.666666666667,265.5,432.333333333333,31.9166666666667,0
5/27/1996,257.333333333333,227.333333333333,266,432.666666666667,33.8333333333333,0
5/28/1996,259,246,266.5,433,35.75,0
5/29/1996,260.666666666667,264.666666666667,267,433.333333333333,37.6666666666667,0
5/30/1996,262.333333333333,283.333333333333,267.5,433.666666666667,39.5833333333333,0
5/31/1996,264,302,268,434,41.5,11
6/1/1996,265.666666666667,320.666666666667,268.5,434.333333333333,43.4166666666667,11
6/2/1996,267.333333333333,339.333333333333,269,434.666666666667,45.3333333333333,11
6/3/1996,269,358,269.5,435,47.25,13
6/4/1996,270.666666666667,376.666666666667,270,435.333333333333,49.1666666666667,16
6/5/1996,272.333333333333,395.333333333333,270.5,435.666666666667,51.0833333333333,32
6/6/1996,274,414,271,436,53,28
6/7/1996,255.3,396.3,252.2,435.1,53.8,28
6/8/1996,236.6,378.6,233.4,434.2,54.6,35
6/9/1996,217.9,360.9,214.6,433.3,55.4,17
6/10/1996,199.2,343.2,195.8,432.4,56.2,13
6/11/1996,180.5,325.5,177,431.5,57,13
6/12/1996,161.8,307.8,158.2,430.6,57.8,0
6/13/1996,143.1,290.1,139.4,429.7,58.6,0
6/14/1996,124.4,272.4,120.6,428.8,59.4,0
6/15/1996,105.7,254.7,101.8,427.9,60.2,0
6/16/1996,87,237,83,427,61,0
6/17/1996,85,304,81,166,55,14
6/18/1996,161.5,54,161.5,0,68,24
6/19/1996,90,214,80,0,57,11
6/20/1996,92.3333333333333,228,86,155,51.6666666666667,11
6/21/1996,94.6666666666667,242,92,310,46.3333333333333,11
6/22/1996,97,256,98,465,41,24
6/23/1996,82,193,84,428,8,25
6/24/1996,105.625,213.75,107.25,489.125,13.5,24
6/25/1996,129.25,234.5,130.5,550.25,19,25
6/26/1996,152.875,255.25,153.75,611.375,24.5,25
6/27/1996,176.5,276,177,672.5,30,25
6/28/1996,200.125,296.75,200.25,733.625,35.5,24
6/29/1996,223.75,317.5,223.5,794.75,41,24
6/30/1996,247.375,338.25,246.75,855.875,46.5,12
7/1/1996,271,359,270,917,52,14
7/2/1996,268,339.333333333333,270,674,49.3333333333333,13
7/3/1996,265,319.666666666667,270,431,46.6666666666667,0
7/4/1996,262,300,270,188,44,12
7/5/1996,264,177,268,181,47,0
7/6/1996,254.5,121,260.5,101,40.5,20
7/7/1996,245,65,253,21,34,37
7/8/1996,259,264,258,200,35,39
7/9/1996,273,452,257,437,86,37
7/10/1996,254,227,254,0,35,29
7/11/1996,229,386.666666666667,231.333333333333,152.833333333333,40.3333333333333,19
7/12/1996,204,546.333333333333,208.666666666667,305.666666666667,45.6666666666667,13
7/13/1996,201,603.166666666667,205,481.333333333333,6,0
7/14/1996,267,660,264,657,50,0
