Date,"Density, g/cm-3 (100 km)","Density, g/cm-3 (150 km)","Density, g/cm-3 (200 km)","Density, g/cm-3 (250 km)","Density, g/cm-3 (300 km)","Density, g/cm-3 (350 km)","Density, g/cm-3 (400 km)","Density, g/cm-3 (450 km)","Density, g/cm-3 (500 km)","Density, g/cm-3 (550 km)","Density, g/cm-3 (600 km)","Density, g/cm-3 (650 km)","Density, g/cm-3 (700 km)","Density, g/cm-3 (750 km)","Density, g/cm-3 (800 km)","Density, g/cm-3 (850 km)","Density, g/cm-3 (900 km)","Density, g/cm-3 (950 km)","Density, g/cm-3 (1000 km)"
01/01/1996,7.814E-10,1.583E-12,1.552E-13,2.735E-14,6.313E-15,1.694E-15,4.956E-16,1.549E-16,5.239E-17,1.999E-17,9.067E-18,5E-18,3.242E-18,2.333E-18,1.779E-18,1.402E-18,1.128E-18,9.21E-19,7.615E-19
01/02/1996,7.683E-10,1.601E-12,1.584E-13,2.827E-14,6.591E-15,1.78E-15,5.231E-16,1.64E-16,5.56E-17,2.124E-17,9.63E-18,5.301E-18,3.43E-18,2.464E-18,1.877E-18,1.477E-18,1.187E-18,9.675E-19,7.989E-19
01/03/1996,7.804E-10,1.676E-12,1.617E-13,2.841E-14,6.518E-15,1.724E-15,4.954E-16,1.525E-16,5.149E-17,2.005E-17,9.487E-18,5.476E-18,3.664E-18,2.676E-18,2.049E-18,1.612E-18,1.29E-18,1.048E-18,8.612E-19
01/04/1996,7.233E-10,1.787E-12,1.78E-13,3.277E-14,7.839E-15,2.152E-15,6.402E-16,2.035E-16,7.042E-17,2.774E-17,1.305E-17,7.415E-18,4.884E-18,3.527E-18,2.679E-18,2.094E-18,1.667E-18,1.344E-18,1.096E-18
01/05/1996,6.911E-10,1.702E-12,1.667E-13,3.009E-14,7.078E-15,1.918E-15,5.639E-16,1.774E-16,6.08E-17,2.38E-17,1.118E-17,6.367E-18,4.211E-18,3.054E-18,2.329E-18,1.828E-18,1.461E-18,1.184E-18,9.708E-19
01/06/1996,6.521E-10,1.525E-12,1.458E-13,2.514E-14,5.687E-15,1.493E-15,4.271E-16,1.307E-16,4.362E-17,1.666E-17,7.702E-18,4.367E-18,2.901E-18,2.122E-18,1.636E-18,1.299E-18,1.052E-18,8.647E-19,7.201E-19
01/07/1996,6.041E-10,1.443E-12,1.389E-13,2.375E-14,5.336E-15,1.397E-15,3.991E-16,1.218E-16,4.023E-17,1.506E-17,6.763E-18,3.736E-18,2.445E-18,1.781E-18,1.376E-18,1.1E-18,8.971E-19,7.435E-19,6.246E-19
01/08/1996,5.861E-10,1.521E-12,1.522E-13,2.734E-14,6.418E-15,1.749E-15,5.19E-16,1.637E-16,5.527E-17,2.066E-17,9.002E-18,4.733E-18,2.96E-18,2.09E-18,1.584E-18,1.25E-18,1.01E-18,8.301E-19,6.912E-19
01/09/1996,6.528E-10,1.662E-12,1.603E-13,2.814E-14,6.465E-15,1.718E-15,4.959E-16,1.528E-16,5.114E-17,1.944E-17,8.873E-18,4.947E-18,3.238E-18,2.342E-18,1.79E-18,1.411E-18,1.134E-18,9.247E-19,7.639E-19
01/10/1996,7.087E-10,1.815E-12,1.739E-13,3.072E-14,7.092E-15,1.887E-15,5.451E-16,1.688E-16,5.726E-17,2.238E-17,1.06E-17,6.11E-18,4.076E-18,2.967E-18,2.263E-18,1.773E-18,1.413E-18,1.141E-18,9.33E-19
