Date,SSN,NOAA,Imp,Imp degree,Imp factor,Flare Power,,Factor,Power watts/square metre)
04-01-1997,25,8026,M1.3,1.3,M,0.000013,,X,0.0001
04-07-1997,16,8027,C6.8,6.8,C,0.0000068,,M,0.00001
05-12-1997,14,8038,C1.3,1.3,C,0.0000013,,C,0.000001
05-21-1997,72,8040,M1.3,1.3,M,0.000013,,B,0.0000001
09-23-1997,49,8088,C1.4,1.4,C,0.0000014,,A,0.00000001
11-03-1997,70,8100,C8.6,8.6,C,0.0000086,,,
11-03-1997,70,8100,M4.2,4.2,M,0.000042,,,
11-04-1997,76,8100,X2.1,2.1,X,0.00021,,,
11-06-1997,65,8100,X9.4,9.4,X,0.00094,,,
11-27-1997,40,8113,X2.6,2.6,X,0.00026,,,
12-12-1997,92,8116,B9.4,9.4,B,0.00000094,,,
01-25-1998,105,8141,C1.1,1.1,C,0.0000011,,,
04-20-1998,40,8194,M1.4,1.4,M,0.000014,,,
04-23-1998,34,8210,X1.2,1.2,X,0.00012,,,
04-24-1998,19,8210,C8.9,8.9,C,0.0000089,,,
04-27-1998,16,8210,X1.0,1,X,0.0001,,,
04-29-1998,48,8210,M6.8,6.8,M,0.000068,,,
05-02-1998,96,8210,X1.1,1.1,X,0.00011,,,
05-06-1998,100,8210,X2.7,2.7,X,0.00027,,,
05-09-1998,71,8210,M7.7,7.7,M,0.000077,,,
05-11-1998,76,8214,B6.6,6.6,B,0.00000066,,,
05-19-1998,74,8222,B5.7,5.7,B,0.00000057,,,
05-27-1998,67,8226,C7.5,7.5,C,0.0000075,,,
06-11-1998,97,8243,M1.4,1.4,M,0.000014,,,
06-16-1998,63,8232,M1.0,1,M,0.00001,,,
06-22-1998,65,8243,C2.9,2.9,C,0.0000029,,,
11-02-1998,54,8373,C4.4,4.4,C,0.0000044,,,
11-05-1998,125,8375,M8.4,8.4,M,0.000084,,,
11-08-1998,121,-----,C5.9,5.9,C,0.0000059,,,
12-18-1998,87,8415,M8.0,8,M,0.00008,,,
05-03-1999,112,8525,M4.4,4.4,M,0.000044,,,
06-04-1999,211,8552,M3.9,3.9,M,0.000039,,,
06-11-1999,239,-----,C8.8,8.8,C,0.0000088,,,
06-22-1999,160,8592,M1.7,1.7,M,0.000017,,,
06-23-1999,217,8596,M1.7,1.7,M,0.000017,,,
06-28-1999,254,8592,C3.5,3.5,C,0.0000035,,,
06-29-1999,241,8603,M1.6,1.6,M,0.000016,,,
07-05-1999,199,8603,C7.6,7.6,C,0.0000076,,,
08-28-1999,223,8674,X1.1,1.1,X,0.00011,,,
09-03-1999,115,8679,C2.1,2.1,C,0.0000021,,,
10-14-1999,218,8731,X1.8,1.8,X,0.00018,,,
11-16-1999,242,8766,M3.8,3.8,M,0.000038,,,
11-16-1999,242,8759,M1.8,1.8,M,0.000018,,,
01-18-2000,177,8831,M3.9,3.9,M,0.000039,,,
01-28-2000,89,8841,C4.7,4.7,C,0.0000047,,,
02-05-2000,153,8858,X1.2,1.2,X,0.00012,,,
02-08-2000,188,8858,M1.3,1.3,M,0.000013,,,
02-10-2000,179,8858,C7.3,7.3,C,0.0000073,,,
02-12-2000,166,8858,M1.7,1.7,M,0.000017,,,
02-17-2000,160,8872,M1.3,1.3,M,0.000013,,,
02-18-2000,153,-----,C1.1,1.1,C,0.0000011,,,
03-02-2000,204,8882,M6.5,6.5,M,0.000065,,,
03-07-2000,244,8906,M1.2,1.2,M,0.000012,,,
03-27-2000,244,8932,C2.3,2.3,C,0.0000023,,,
