Date,"N, cm-3 (100 km)","N, cm-3 (150 km)","N, cm-3 (200 m)","N, cm-3 (250 km)","N, cm-3 (300 km)","N, cm-3 (350 km)","N, cm-3 (400 km)","N, cm-3 (450 km)","N, cm-3 (500 km)","N, cm-3 )(550 km)","N, cm-3 (600 km)","N, cm-3 (650 km)","N, cm-3 (700 km)","N, cm-3 (750 km)","N, cm-3 (800 km)","N, cm-3 (850 km)","N, cm-3 (900 km)","N, cm-3 (950 km)","N, cm-3 (1000 km)"
01/01/1996,317600,8082000,12520000,4743000,1543000,516900,178300,62810,22510,8201,3031,1136,432.1,166.5,65.04,25.74,10.32,4.188,1.721
01/02/1996,333000,9183000,14730000,5669000,1856000,623900,215800,76210,27380,9995,3702,1391,530,204.7,80.13,31.77,12.76,5.191,2.137
01/03/1996,356300,10650000,17130000,6481000,2069000,676500,227500,78120,27300,9698,3497,1280,475,178.8,68.23,26.39,10.34,4.105,1.65
01/04/1996,351900,12360000,20530000,8045000,2656000,896700,311200,110300,39720,14540,5403,2036,777.8,301.2,118.2,47,18.93,7.718,3.186
01/05/1996,323000,10880000,17650000,6808000,2222000,743000,255400,89690,32030,11630,4282,1600,606.1,232.8,90.62,35.74,14.28,5.778,2.367
01/06/1996,282000,8455000,13260000,4972000,1585000,518400,174500,60020,21000,7472,2698,988.8,367.5,138.5,52.94,20.5,8.044,3.197,1.287
01/07/1996,255800,7588000,11960000,4495000,1438000,471800,159400,55030,19330,6901,2501,919.7,343,129.7,49.74,19.33,7.608,3.034,1.225
01/08/1996,260800,8563000,14020000,5488000,1826000,622700,218400,78250,28500,10550,3961,1508,582.2,227.8,90.3,36.26,14.75,6.071,2.53
01/09/1996,292000,9656000,15350000,5823000,1874000,618200,209800,72750,25660,9200,3348,1236,462.9,175.8,67.66,26.39,10.43,4.174,1.691
01/10/1996,316500,10620000,16580000,6230000,1993000,653900,220800,76200,26750,9547,3459,1271,473.9,179.2,68.67,26.67,10.49,4.183,1.688
01/11/1996,328200,9929000,15280000,5770000,1868000,621700,213100,74610,26580,9622,3535,1318,498,190.8,74.12,29.17,11.63,4.695,1.919
01/12/1996,329000,8873000,13940000,5476000,1860000,651400,234900,86490,32370,12310,4745,1855,734.6,294.8,119.8,49.32,20.55,8.666,3.698
01/01/1997,318900,8102000,12630000,4801000,1565000,525200,181400,64030,22980,8385,3104,1165,443.8,171.3,67,26.55,10.66,4.332,1.782
01/02/1997,334900,8925000,14130000,5336000,1712000,564200,191200,66230,23340,8358,3038,1121,419.2,159,61.14,23.82,9.405,3.76,1.522
01/03/1997,348600,11560000,19490000,7768000,2612000,898900,317900,114800,42120,15700,5939,2278,885.5,348.9,139.2,56.3,23.05,9.551,4.006
01/04/1997,354100,12800000,21760000,8763000,2976000,1034000,369000,134400,49780,18720,7143,2763,1083,430.3,173.2,70.58,29.13,12.17,5.142
01/05/1997,311500,12860000,22610000,9489000,3369000,1225000,457200,174100,67380,26470,10540,4251,1737,719,301.3,127.8,54.83,23.81,10.45
01/06/1997,283300,8890000,14330000,5550000,1829000,618200,215000,76350,27580,10120,3769,1424,545.2,211.6,83.25,33.18,13.39,5.472,2.264
01/07/1997,259600,7404000,11560000,4304000,1363000,442800,148100,50660,17620,6234,2239,815.8,301.6,113.1,42.97,16.55,6.462,2.555,1.023
01/08/1997,264300,8091000,12990000,4939000,1591000,525200,178400,61900,21850,7840,2855,1055,395.4,150.2,57.87,22.59,8.933,3.578,1.451
01/09/1997,308300,10290000,17440000,7174000,2512000,901800,332700,125300,47930,18620,7331,2926,1183,484.5,200.9,84.34,35.83,15.4,6.699
01/10/1997,308300,14340000,26520000,11930000,4574000,1798000,726000,298900,124800,52890,22690,9850,4327,1923,864.7,393.1,180.6,83.91,39.39
01/11/1997,340500,11770000,20280000,8688000,3199000,1211000,471600,187300,75510,30890,12800,5373,2283,981.8,427.3,188.1,83.76,37.71,17.17
01/12/1997,349000,10110000,17350000,7530000,2835000,1100000,439200,178900,73950,31010,13170,5661,2463,1084,482.7,217.4,98.98,45.56,21.19
