Date,"O, cm-3 (100 km)","O, cm-3 (150 km)","O, cm-3 (200 km)","O, cm-3 (250 km)","O, cm-3 (300 km)","O, cm-3 (350 km)","O, cm-3 (400 km)","O, cm-3 (450 km)","O, cm-3 (500 km)","O, cm-3 (550 km)","O, cm-3 (600 km)","O, cm-3 (650 km)","O, cm-3 (700 km)","O, cm-3 (750 km)","O, cm-3 (800 km)","O, cm-3 (850 km)","O, cm-3 (900 km)","O, cm-3 (950 km)","O, cm-3 (1000 km)"
01/01/1996,525900000000,13000000000,2593000000,697000000,199200000,58440000,17480000,5327000,1651000,520800,167000,54420,18020,6060,2070,717.5,252.4,90.06,32.59
01/02/1996,536700000000,13600000000,2711000000,729800000,209100000,61500000,18450000,5636000,1752000,553800,178000,58150,19300,6508,2228,774.1,273,97.63,35.41
01/03/1996,572900000000,15050000000,2912000000,759800000,210700000,59970000,17410000,5152000,1551000,475400,148200,46970,15130,4954,1647,556.3,190.7,66.33,23.41
01/04/1996,571100000000,16900000000,3291000000,882300000,253100000,74680000,22480000,6889000,2148000,681400,219800,72020,23980,8111,2785,970.7,343.3,123.1,44.79
01/05/1996,526800000000,15510000000,3014000000,801900000,227800000,66520000,19820000,6011000,1856000,582800,186100,60410,19920,6675,2271,784.3,274.8,97.72,35.24
01/06/1996,455400000000,12740000000,2493000000,653100000,181500000,51770000,15060000,4463000,1346000,413300,129000,40970,13220,4335,1444,488.2,167.6,58.39,20.64
01/07/1996,406900000000,11490000000,2285000000,603300000,168600000,48290000,14110000,4199000,1272000,392000,122900,39170,12690,4177,1397,474.1,163.4,57.12,20.26
01/08/1996,414300000000,12490000000,2527000000,691100000,201300000,60190000,18350000,5697000,1799000,577700,188600,62560,21080,7212,2505,883,315.8,114.5,42.12
01/09/1996,478300000000,14380000000,2805000000,739200000,207200000,59640000,17510000,5237000,1594000,493700,155500,49800,16210,5359,1800,613.6,212.4,74.57,26.56
01/10/1996,539600000000,16460000000,3154000000,824100000,229500000,65680000,19180000,5704000,1727000,532000,166700,53100,17200,5658,1891,641.5,220.9,77.22,27.38
01/11/1996,569000000000,16240000000,3149000000,835600000,236700000,68910000,20470000,6191000,1906000,596800,190100,61520,20240,6762,2294,790.3,276.2,97.97,35.24
01/12/1996,557200000000,14480000000,2916000000,814400000,244200000,75380000,23730000,7602000,2477000,820100,275900,94300,32720,11530,4120,1494,549.2,204.7,77.36
01/01/1997,527300000000,13080000000,2629000000,709200000,203200000,59720000,17900000,5464000,1697000,536000,172200,56200,18640,6280,2148,745.9,262.8,93.93,34.04
01/02/1997,540200000000,13410000000,2655000000,701800000,196700000,56550000,16580000,4953000,1506000,465700,146500,46860,15230,5031,1688,574.7,198.7,69.69,24.79
01/03/1997,559300000000,15900000000,3183000000,873300000,256200000,77270000,23770000,7442000,2370000,767600,252600,84490,28700,9899,3465,1231,443.6,162.1,60.05
01/04/1997,571800000000,17240000000,3417000000,941600000,278700000,84910000,26390000,8348000,2686000,878700,292100,98650,33830,11780,4163,1492,542.7,200.1,74.8
01/05/1997,507500000000,17380000000,3554000000,1023000000,318400000,102100000,33410000,11120000,3763000,1293000,451400,160000,57530,20990,7767,2914,1108,427.1,166.8
01/06/1997,455700000000,13140000000,2618000000,708200000,204100000,60430000,18240000,5608000,1754000,557900,180400,59290,19800,6713,2311,807.6,286.3,103,37.55
01/07/1997,412500000000,11340000000,2249000000,588500000,162600000,46080000,13320000,3919000,1174000,358200,111100,35050,11240,3663,1213,407.6,139.1,48.18,16.93
01/08/1997,419200000000,12150000000,2446000000,650700000,183000000,52750000,15500000,4641000,1414000,438300,138200,44280,14420,4774,1604,547.5,189.6,66.64,23.76
01/09/1997,491900000000,14760000000,3048000000,873000000,268700000,85120000,27490000,9033000,3017000,1024000,352900,123500,43890,15820,5786,2146,806.7,307.4,118.7
01/10/1997,513400000000,19990000000,4311000000,1338000000,453600000,159100000,56920000,20710000,7647000,2866000,1089000,419800,164000,64910,26030,10570,4348,1810,762.7
01/11/1997,573400000000,17960000000,3799000000,1142000000,372500000,125400000,43070000,15040000,5334000,1921000,701800,260200,97830,37300,14410,5643,2238,899.3,365.8
01/12/1997,573000000000,15540000000,3356000000,1034000000,347000000,120300000,42540000,15290000,5580000,2067000,776500,295900,114300,44740,17750,7132,2902,1196,498.6
01/01/1998,547600000000,13800000000,2987000000,903300000,294800000,99150000,33990000,11840000,4193000,1507000,549500,203300,76310,29040,11200,4377,1733,695.1,282.2
01/02/1998,549200000000,14560000000,3134000000,930200000,296500000,97190000,32470000,11030000,3809000,1335000,475300,171700,62920,23390,8816,3368,1304,511.6,203.3
01/03/1998,577900000000,17420000000,3833000000,1188000000,398500000,137900000,48640000,17440000,6348000,2345000,878900,334100,128700,50280,19900,7976,3238,1331,553.7
01/04/1998,618100000000,17990000000,3927000000,1219000000,411500000,143400000,50920000,18380000,6738000,2506000,945500,361700,140300,55140,21960,8858,3618,1496,626.2
01/05/1998,552800000000,17760000000,3957000000,1258000000,435800000,155900000,56900000,21100000,7938000,3030000,1173000,460000,182900,73670,30060,12420,5192,2197,940.8
01/06/1998,479600000000,14210000000,3145000000,966700000,320200000,109200000,37930000,13390000,4801000,1747000,645300,241700,91830,35360,13800,5458,2186,886.6,364.1
01/07/1998,436600000000,12830000000,2952000000,954800000,334900000,121100000,44650000,16720000,6352000,2448000,956400,378700,151900,61760,25420,10590,4468,1907,823.4
01/08/1998,431900000000,14910000000,3567000000,1196000000,435200000,163300000,62450000,24240000,9544000,3809000,1540000,631100,261800,110000,46780,20130,8765,3860,1719
01/09/1998,515400000000,18600000000,4517000000,1614000000,640600000,264600000,111700000,47840000,20770000,9130000,4062000,1828000,832100,383000,178200,83820,39830,19120,9274
01/10/1998,555000000000,21420000000,5086000000,1749000000,661400000,259200000,103600000,42080000,17320000,7221000,3050000,1304000,564200,247100,109400,49030,22210,10170,4709
01/11/1998,612400000000,19270000000,4471000000,1483000000,537700000,201400000,76940000,29840000,11740000,4683000,1893000,774900,321300,134900,57340,24660,10730,4723,2102
01/12/1998,590600000000,18300000000,4455000000,1591000000,630300000,259700000,109300000,46690000,20210000,8861000,3931000,1764000,800900,367700,170600,80040,37940,18170,8789
01/01/1999,582400000000,16020000000,3958000000,1417000000,559900000,229600000,96110000,40830000,17570000,7658000,3378000,1508000,680600,310700,143400,66930,31560,15040,7236
01/02/1999,600300000000,15470000000,3661000000,1191000000,417000000,150100000,55020000,20480000,7734000,2963000,1151000,453100,180800,73060,29910,12390,5200,2208,948.3
01/03/1999,600300000000,15470000000,3661000000,1191000000,417000000,150100000,55020000,20480000,7734000,2963000,1151000,453100,180800,73060,29910,12390,5200,2208,948.3
01/04/1999,610700000000,20280000000,4705000000,1545000000,551600000,203300000,76330000,29110000,11260000,4419000,1757000,708000,289000,119500,50000,21180,9080,3938,1727
01/05/1999,554900000000,20180000000,4862000000,1692000000,647600000,256800000,103900000,42660000,17760000,7487000,3197000,1382000,604200,267400,119700,54170,24790,11470,5360
01/06/1999,505500000000,16370000000,4123000000,1497000000,599200000,248600000,105200000,45170000,19650000,8651000,3855000,1738000,792300,365300,170200,80180,38160,18350,8911
01/07/1999,467300000000,15010000000,3934000000,1487000000,621600000,269800000,119400000,53620000,24380000,11210000,5217000,2454000,1167000,560500,272100,133400,66050,33020,16670
01/08/1999,470100000000,15710000000,4105000000,1541000000,638700000,274500000,120300000,53490000,24080000,10970000,5053000,2354000,1109000,527800,253900,123400,60540,30000,15010
01/09/1999,513700000000,19570000000,5011000000,1867000000,770800000,330800000,144900000,64410000,28990000,13210000,6084000,2835000,1335000,635500,305700,148500,72890,36130,18080
01/10/1999,593700000000,22010000000,5475000000,1923000000,736400000,291100000,117200000,47890000,19830000,8319000,3534000,1519000,661300,291200,129700,58430,26610,12250,5701
01/11/1999,621200000000,22160000000,5641000000,2081000000,848100000,358700000,154800000,67760000,30040000,13480000,6121000,2811000,1305000,612400,290500,139200,67420,32970,16280
01/12/1999,614800000000,19100000000,4940000000,1823000000,739000000,310200000,132700000,57560000,25290000,11250000,5063000,2305000,1061000,493800,232300,110400,53040,25730,12610
01/01/2000,563600000000,18660000000,4844000000,1771000000,708000000,292500000,123100000,52530000,22710000,9940000,4403000,1973000,894400,410000,190000,89000,42130,20150,9733
01/02/2000,603200000000,17990000000,4639000000,1665000000,649000000,260900000,106700000,44290000,18620000,7931000,3419000,1492000,658800,294300,132900,60720,28040,13080,6170
01/03/2000,633100000000,22160000000,5937000000,2318000000,1008000000,456200000,210900000,98890000,46940000,22530000,10930000,5357000,2652000,1327000,669900,341500,175800,91270,47820
