Date,"He, cm-3 (100 km)","He, cm-3 (150 km)","He, cm-3 (200 km)","He, cm-3 (250 km)","He, cm-3 (300 km)","He, cm-3 (350 km)","He, cm-3 (400 km)","He, cm-3 (450 km)","He, cm-3 (500 km)","He, cm-3 (550 km)","He, cm-3 (600 km)","He, cm-3 (650 km)","He, cm-3 (700 km)","He, cm-3 (750 km)","He, cm-3 (800 km)","He, cm-3 (850 km)","He, cm-3 (900 km)","He, cm-3 (950 km)","He, cm-3 (1000 km)"
01/01/1996,139800000,11080000,6957000,4957000,3617000,2661000,1968000,1462000,1091000,817500,615200,464800,352600,268500,205300,157500,121300,93750,72710
01/02/1996,138700000,11700000,7339000,5230000,3818000,2811000,2080000,1546000,1155000,865800,651900,492900,374100,285100,218100,167400,129000,99770,77420
01/03/1996,145200000,14290000,8914000,6306000,4567000,3335000,2448000,1805000,1337000,995100,743500,557900,420300,317900,241400,184000,140800,108100,83350
01/04/1996,141500000,17850000,11090000,7881000,5754000,4239000,3139000,2336000,1745000,1310000,987100,746800,567300,432600,331200,254500,196200,151900,117900
01/05/1996,133100000,15520000,9651000,6850000,4990000,3667000,2709000,2010000,1498000,1122000,843100,636400,482300,366900,280200,214800,165300,127600,98900
01/06/1996,118700000,10580000,6617000,4688000,3398000,2482000,1823000,1345000,996800,741900,554600,416300,313800,237400,180400,137600,105300,80890,62370
01/07/1996,106400000,8300000,5222000,3708000,2692000,1969000,1447000,1069000,793100,590900,442200,332200,250700,189900,144400,110200,84430,64930,50110
01/08/1996,104800000,8993000,5652000,4042000,2963000,2190000,1627000,1215000,910600,685500,518100,393200,299600,229100,175900,135500,104800,81340,63340
01/09/1996,120400000,11820000,7371000,5226000,3795000,2779000,2046000,1513000,1124000,838200,627900,472300,356800,270500,205900,157400,120700,92920,71780
01/10/1996,136400000,16080000,9977000,7054000,5114000,3739000,2748000,2029000,1505000,1121000,839100,630400,475500,360100,273800,209000,160100,123100,94990
01/11/1996,147300000,16500000,10250000,7271000,5293000,3886000,2869000,2127000,1585000,1185000,890500,671700,508700,386700,295200,226100,173900,134200,103900
01/12/1996,145800000,13160000,8209000,5887000,4344000,3236000,2424000,1823000,1378000,1045000,795900,608500,467000,359800,278200,215900,168100,131400,103000
01/01/1997,140300000,11150000,7011000,5000000,3651000,2688000,1989000,1478000,1103000,827200,622700,470700,357200,272100,208100,159800,123100,95170,73840
01/02/1997,140900000,11520000,7230000,5134000,3729000,2730000,2009000,1485000,1103000,822300,615900,463100,349700,265100,201800,154100,118200,90950,70240
01/03/1997,138900000,15310000,9575000,6845000,5025000,3722000,2772000,2073000,1557000,1175000,889900,676700,516600,395900,304500,235100,182200,141600,110500
01/04/1997,140300000,18110000,11260000,8049000,5920000,4396000,3282000,2461000,1854000,1402000,1064000,811400,620900,477000,367800,284600,221000,172200,134600
01/05/1997,123000000,18070000,11270000,8128000,6049000,4549000,3440000,2612000,1992000,1526000,1173000,904700,700600,544500,424700,332400,261000,205700,162600
