Date,"H, cm-3 (100 km)","H, cm-3 (150 km)","H, cm-3 (200 km)","H, cm-3 (250 km)","H, cm-3 (300 km)","H, cm-3 (350 km)","H, cm-3 (400 km)","H, cm-3 (450 km)","H, cm-3 (500 km)","H, cm-3 (550 km)","H, cm-3 (600 km)","H, cm-3 (650 km)","H, cm-3 (700 km)","H, cm-3 (750 km)","H, cm-3(800 km)","H, cm-3 (850 km)","H, cm-3 (900 km)","H, cm-3 (950 km)","H, cm-3 (1000 km)"
01/01/1996,32370000,1593000,602500,488900,445200,411600,381700,354300,329300,306400,285400,266100,248300,232000,216900,203000,190200,178300,167300
01/02/1996,31700000,1609000,613400,498300,453900,419700,389200,361400,335900,312600,291200,271500,253400,236800,221500,207300,194200,182100,170900
01/03/1996,32380000,1755000,681400,554300,504200,465300,430600,399100,370200,343800,319700,297500,277200,258500,241300,225500,210900,197400,185000
01/04/1996,29800000,1720000,670800,546100,497400,459900,426600,396200,368400,342900,319400,297900,278100,259900,243100,227600,213300,200100,187800
01/05/1996,29200000,1717000,678100,553000,503700,465500,431500,400500,372100,346100,322300,300400,280300,261800,244700,229000,214400,201000,188600
01/06/1996,28600000,1674000,672400,550100,500700,462200,427800,396500,367900,341700,317700,295700,275600,257000,239900,224200,209700,196300,184000
01/07/1996,26800000,1574000,637500,522500,475900,439400,406900,377200,350000,325200,302500,281600,262500,244900,228600,213700,199900,187200,175500
01/08/1996,25120000,1441000,570400,466200,425300,393600,365400,339600,316000,294400,274500,256200,239300,223800,209500,196300,184100,172800,162300
01/09/1996,27560000,1593000,628000,512200,466300,430600,398800,369800,343300,319000,296800,276400,257700,240500,224600,210000,196500,184100,172600
01/10/1996,29400000,1703000,665700,541900,493000,455000,421200,390500,362400,336700,313100,291500,271700,253400,236700,221200,206900,193800,181600
01/11/1996,31330000,1666000,633300,513700,467500,431900,400300,371500,345100,320900,298800,278500,259800,242600,226700,212100,198600,186200,174600
01/12/1996,31420000,1446000,522800,421400,384200,356200,331300,308500,287600,268400,250800,234500,219500,205600,192800,181000,170000,159800,150400
01/01/1997,32360000,1573000,593000,481200,438300,405300,375800,349000,324400,301800,281100,262100,244700,228600,213800,200100,187500,175800,165000
01/02/1997,32630000,1656000,634900,516100,469700,433800,401700,372500,345800,321300,298900,278400,259500,242100,226100,211400,197800,185300,173700
01/03/1997,29700000,1607000,616600,501300,457200,423300,393200,365600,340400,317200,295900,276400,258300,241700,226300,212200,199100,186900,175700
01/04/1997,28880000,1611000,616700,500900,456800,423100,393200,365900,340900,317900,296700,277300,259300,242800,227500,213400,200300,188200,177000
01/05/1997,24870000,1466000,566200,460600,421000,391100,364600,340400,318100,297500,278600,261100,244900,230000,216100,203300,191400,180300,170000
01/06/1997,27490000,1568000,619200,505600,460900,426400,395600,367400,341700,318100,296400,276500,258200,241300,225700,211400,198100,185900,174500
01/07/1997,27580000,1585000,639400,523800,476800,440000,407100,377100,349800,324700,301800,280800,261600,243900,227600,212600,198800,186000,174300
01/08/1997,26540000,1503000,599600,490700,447100,412900,382500,354700,329300,306100,284800,265200,247300,230700,215500,201500,188600,176700,165700
01/09/1997,26150000,1256000,456800,368900,336900,312800,291400,271800,253800,237200,221900,207800,194800,182800,171700,161300,151800,142900,134600
01/10/1997,21900000,1118000,398700,320800,293900,274300,257100,241300,226700,213200,200700,189100,178300,168300,158900,150200,142100,134600,127500
01/11/1997,27030000,1195000,413700,331600,303300,282500,264100,247300,231800,217400,204200,191900,180500,170000,160100,151000,142600,134700,127300
01/12/1997,28400000,1063000,348900,277700,254000,236900,221900,208200,195400,183700,172800,162700,153300,144500,136400,128900,121800,115300,109100
01/01/1998,29490000,1120000,376800,301300,275600,256800,240100,224700,210600,197600,185500,174300,164000,154400,145400,137100,129400,122200,115500
01/02/1998,29030000,1225000,429800,346000,316400,294400,274900,256900,240400,225100,211100,198000,186000,174800,164500,154900,146000,137700,130000
01/03/1998,26380000,1111000,380900,305500,279900,261100,244600,229400,215300,202300,190300,179100,168800,159100,150200,141800,134100,126800,120100
