time (yyyy-MM-dd),irradiance (W/m^2)
15/04/1976,1360.63354492188
15/05/1976,1360.75854492188
15/06/1976,1360.70544433594
15/07/1976,1360.67944335938
15/08/1976,1360.66625976563
15/09/1976,1360.72265625
15/10/1976,1360.79235839844
15/11/1976,1360.71276855469
15/12/1976,1360.67077636719
15/01/1977,1360.75671386719
15/02/1977,1360.86413574219
15/03/1977,1360.75329589844
15/04/1977,1360.81640625
15/05/1977,1360.90844726563
15/06/1977,1360.71057128906
15/07/1977,1360.89868164063
15/08/1977,1360.93432617188
15/09/1977,1360.66442871094
15/10/1977,1360.90417480469
15/11/1977,1361.29309082031
15/12/1977,1361.17687988281
15/01/1978,1361.26916503906
15/02/1978,1360.8037109375
15/03/1978,1361.10876464844
15/04/1978,1361.06848144531
15/05/1978,1361.23803710938
15/06/1978,1361.41760253906
15/07/1978,1361.4482421875
15/08/1978,1361.5439453125
15/09/1978,1361.11706542969
15/10/1978,1361.53955078125
15/11/1978,1361.28137207031
15/12/1978,1360.71862792969
15/01/1979,1361.31323242188
15/02/1979,1361.72619628906
15/03/1979,1362.17602539063
15/04/1979,1361.65124511719
15/05/1979,1361.76586914063
15/06/1979,1361.02941894531
15/07/1979,1361.55114746094
15/08/1979,1361.5234375
15/09/1979,1361.50524902344
15/10/1979,1361.544921875
15/11/1979,1361.46398925781
15/12/1979,1361.95483398438
15/01/1980,1361.90515136719
15/02/1980,1361.63342285156
15/03/1980,1362.0703125
15/04/1980,1361.26721191406
15/05/1980,1361.42248535156
15/06/1980,1361.79516601562
15/07/1980,1361.7138671875
15/08/1980,1361.71411132813
15/09/1980,1361.5869140625
15/10/1980,1361.53979492188
15/11/1980,1360.99731445313
15/12/1980,1362.00085449219
15/01/1981,1362.09912109375
15/02/1981,1361.56652832031
15/03/1981,1361.76708984375
15/04/1981,1362.12145996094
15/05/1981,1361.71813964844
15/06/1981,1361.57946777344
15/07/1981,1360.71655273438
15/08/1981,1362.14599609375
15/09/1981,1361.72875976563
15/10/1981,1361.41760253906
15/11/1981,1361.75085449219
15/12/1981,1361.59130859375
15/01/1982,1361.88110351563
15/02/1982,1360.74865722656
15/03/1982,1360.76452636719
15/04/1982,1361.42468261719
15/05/1982,1361.369140625
15/06/1982,1360.45874023438
15/07/1982,1361.11486816406
15/08/1982,1361.19396972656
15/09/1982,1361.4765625
15/10/1982,1361.63513183594
15/11/1982,1361.40930175781
15/12/1982,1361.24438476563
15/01/1983,1361.41650390625
15/02/1983,1361.251953125
15/03/1983,1361.23217773438
15/04/1983,1361.19641113281
15/05/1983,1361.08715820313
15/06/1983,1361.07971191406
15/07/1983,1361.29345703125
15/08/1983,1361.46362304688
15/09/1983,1361.27258300781
15/10/1983,1361.04760742188
15/11/1983,1361.146484375
15/12/1983,1361.07568359375
15/01/1984,1360.29663085938
15/02/1984,1360.56115722656
15/03/1984,1361.17932128906
15/04/1984,1360.44165039063
15/05/1984,1360.71313476563
15/06/1984,1361.10974121094
15/07/1984,1361.1513671875
15/08/1984,1361.009765625
15/09/1984,1360.90246582031
15/10/1984,1360.75598144531
15/11/1984,1360.61877441406
15/12/1984,1360.72705078125
15/01/1985,1360.61560058594
15/02/1985,1360.68408203125
15/03/1985,1360.64440917969
15/04/1985,1360.50915527344
15/05/1985,1360.6123046875
15/06/1985,1360.67541503906
15/07/1985,1360.63354492188
15/08/1985,1360.76586914063
15/09/1985,1360.6533203125
15/10/1985,1360.544921875
15/11/1985,1360.60864257813
15/12/1985,1360.65234375
15/01/1986,1360.66552734375
15/02/1986,1360.54089355469
15/03/1986,1360.68762207031
15/04/1986,1360.6513671875
15/05/1986,1360.72668457031
15/06/1986,1360.64721679688
15/07/1986,1360.62927246094
15/08/1986,1360.57629394531
15/09/1986,1360.583984375
15/10/1986,1360.61181640625
15/11/1986,1360.70727539063
15/12/1986,1360.66394042969
15/01/1987,1360.65026855469
15/02/1987,1360.6435546875
15/03/1987,1360.646484375
15/04/1987,1360.57946777344
15/05/1987,1360.72277832031
15/06/1987,1360.85559082031
15/07/1987,1360.86450195313
15/08/1987,1360.75769042969
15/09/1987,1360.84973144531
15/10/1987,1360.82006835938
15/11/1987,1360.98852539063
15/12/1987,1361.00610351563
15/01/1988,1361.0673828125
15/02/1988,1361.13879394531
15/03/1988,1360.92419433594
15/04/1988,1361.03845214844
15/05/1988,1361.35571289063
15/06/1988,1360.96655273438
15/07/1988,1360.72595214844
15/08/1988,1361.10766601563
15/09/1988,1361.49560546875
15/10/1988,1361.17846679688
15/11/1988,1361.26708984375
15/12/1988,1361.17895507813
15/01/1989,1361.42358398438
15/02/1989,1361.62133789063
15/03/1989,1361.36657714844
15/04/1989,1361.61267089844
15/05/1989,1361.82580566406
15/06/1989,1361.23010253906
15/07/1989,1362.18334960938
15/08/1989,1361.48254394531
15/09/1989,1361.19274902344
15/10/1989,1362.02905273438
15/11/1989,1361.84338378906
15/12/1989,1361.884765625
15/01/1990,1361.89965820313
15/02/1990,1361.6728515625
15/03/1990,1361.67395019531
15/04/1990,1361.9521484375
15/05/1990,1361.54821777344
15/06/1990,1361.85070800781
15/07/1990,1361.43920898438
15/08/1990,1361.03991699219
15/09/1990,1361.86401367188
15/10/1990,1361.62524414063
15/11/1990,1360.74670410156
15/12/1990,1361.33154296875
15/01/1991,1360.93859863281
15/02/1991,1361.28967285156
15/03/1991,1362.24792480469
15/04/1991,1362.17504882813
15/05/1991,1361.41003417969
15/06/1991,1361.40002441406
15/07/1991,1361.65637207031
15/08/1991,1361.58520507813
15/09/1991,1361.96862792969
15/10/1991,1361.06311035156
15/11/1991,1361.66589355469
15/12/1991,1360.82751464844
15/01/1992,1361.53649902344
15/02/1992,1361.4775390625
15/03/1992,1361.90466308594
15/04/1992,1361.65625
15/05/1992,1361.48962402344
15/06/1992,1361.33190917969
15/07/1992,1361.02307128906
15/08/1992,1360.97644042969
15/09/1992,1361.15490722656
15/10/1992,1360.83776855469
15/11/1992,1361.02502441406
15/12/1992,1361.29431152344
15/01/1993,1361.25842285156
15/02/1993,1360.71875
15/03/1993,1361.14147949219
15/04/1993,1361.11010742188
15/05/1993,1361.08264160156
15/06/1993,1361.10302734375
15/07/1993,1360.99597167969
15/08/1993,1360.99755859375
15/09/1993,1360.84484863281
15/10/1993,1360.60034179688
15/11/1993,1360.63623046875
15/12/1993,1360.79956054688
15/01/1994,1360.54504394531
15/02/1994,1360.93835449219
15/03/1994,1360.98571777344
