Date,"O2, cm-3 (100 km)","O2, cm-3 (150 km)","O2, cm-3 (200 km)","O2, cm-3 (250 km)","O2, cm-3 (300 km)","O2, cm-3 (350 km)","O2, cm-3 (400 km)","O2, cm-3 (450 km)","O2, cm-3 (500 km)","O2, cm-3 (550 km)","O2, cm-3 (600 km)","O2, cm-3 (650 km)","O2, cm-3 (700 km)","O2, cm-3 (750 km)","O2, cm-3(800 km)","O2, cm-3 (850 km)","O2, cm-3 (900 km)","O2, cm-3 (950 km)","O2, cm-3 (1000 km)"
01/01/1996,3013000000000,1934000000,105900000,8261000,686200,59280,5312,493.1,47.39,4.713,0.4845,0.05146,0.005642,0.0006383,0.00007444,0.000008946,0.000001107,0.000000141,0.00000001846
01/02/1996,2983000000000,2030000000,111800000,8758000,731200,63510,5721,533.9,51.58,5.155,0.5326,0.05685,0.006264,0.000712,0.00008344,0.00001007,0.000001252,0.0000001602,0.00000002108
01/03/1996,3019000000000,2043000000,105700000,7771000,607500,49410,4170,365,33.1,3.108,0.302,0.03034,0.00315,0.0003376,0.00003733,0.000004256,0.0000005001,0.00000006051,0.000000007536
01/04/1996,2760000000000,2009000000,106000000,8266000,692800,60550,5491,515.8,50.17,5.047,0.5249,0.05639,0.006252,0.0007151,0.00008432,0.00001024,0.000001281,0.0000001648,0.00000002181
01/05/1996,2628000000000,1891000000,98640000,7558000,620800,53140,4720,434.4,41.4,4.083,0.4164,0.04387,0.004772,0.0005357,0.000062,0.000007394,0.0000009082,0.0000001148,0.00000001493
01/06/1996,2497000000000,1812000000,94270000,6964000,546600,44620,3779,331.9,30.2,2.846,0.2774,0.02796,0.002912,0.0003131,0.00003473,0.000003972,0.0000004681,0.00000005681,0.000000007096
01/07/1996,2337000000000,1860000000,99930000,7480000,592900,48830,4172,369.5,33.91,3.221,0.3166,0.03216,0.003376,0.0003658,0.00004088,0.000004711,0.0000005594,0.00000006839,0.000000008604
01/08/1996,2269000000000,1983000000,111800000,9022000,778100,69850,6500,626.4,62.47,6.442,0.6864,0.07553,0.008575,0.001004,0.0001211,0.00001505,0.000001925,0.0000002532,0.00000003424
01/09/1996,2509000000000,2017000000,105400000,7898000,631000,52470,4527,405,37.52,3.599,0.3571,0.03662,0.003879,0.0004241,0.00004783,0.00000556,0.0000006659,0.00000008211,0.00000001042
01/10/1996,2689000000000,1994000000,100900000,7451000,588100,48350,4125,365,33.46,3.175,0.3117,0.03164,0.003318,0.0003591,0.0000401,0.000004617,0.0000005477,0.0000000669,0.000000008409
01/11/1996,2887000000000,1903000000,97680000,7431000,606600,51610,4557,417,39.52,3.875,0.393,0.04118,0.004455,0.0004974,0.00005727,0.000006794,0.0000008302,0.0000001044,0.00000001351
01/12/1996,2991000000000,1876000000,104900000,8873000,812900,77760,7713,791.8,84.04,9.216,1.043,0.1218,0.01467,0.00182,0.0002325,0.00003057,0.000004133,0.0000005744,0.00000008199
01/01/1997,3001000000000,1909000000,104100000,8136000,678100,58800,5287,492.6,47.52,4.741,0.4891,0.05212,0.005734,0.0006508,0.00007616,0.000009181,0.00000114,0.0000001456,0.00000001913
01/02/1997,3039000000000,1999000000,106700000,8018000,639800,53080,4568,407.5,37.67,3.604,0.3566,0.03648,0.003855,0.0004205,0.00004731,0.000005488,0.0000006558,0.00000008068,0.00000001021
01/03/1997,2809000000000,2080000000,115300000,9394000,823000,75150,7117,697.8,70.79,7.424,0.8043,0.08996,0.01038,0.001235,0.0001513,0.00001909,0.000002479,0.0000003311,0.00000004545
01/04/1997,2712000000000,2014000000,109800000,9049000,807700,75280,7279,728.6,75.43,8.072,0.892,0.1017,0.01197,0.001451,0.0001811,0.00002328,0.000003079,0.0000004186,0.00000005848
01/05/1997,2303000000000,1966000000,114500000,10340000,1021000,105500,11310,1254,143.5,16.95,2.066,0.2594,0.03355,0.004465,0.0006114,0.00008607,0.00001245,0.000001849,0.0000002819
01/06/1997,2436000000000,1824000000,98800000,7793000,658300,57900,5282,499.1,48.82,4.94,0.5166,0.0558,0.00622,0.0007153,0.00008478,0.00001035,0.000001301,0.0000001683,0.00000002238
