time (yyyy-MM-dd),Ra
1996-01-01,5
1996-02-01,5.9
1996-03-01,8.3
1996-04-01,5.4
1996-05-01,6.3
1996-06-01,11.6
1996-07-01,8.1
1996-08-01,13.2
1996-09-01,1.8
1996-10-01,1.2
1996-11-01,16.1
1996-12-01,12
1997-01-01,5.5
1997-02-01,7.9
1997-03-01,7.9
1997-04-01,15.8
1997-05-01,17.8
1997-06-01,13.8
1997-07-01,7.7
1997-08-01,23.8
1997-09-01,43.9
1997-10-01,22.6
1997-11-01,37.7
1997-12-01,38.9
1998-01-01,31.2
1998-02-01,34.6
1998-03-01,58
1998-04-01,48.8
1998-05-01,54.7
1998-06-01,60.4
1998-07-01,66.3
1998-08-01,88.6
1998-09-01,92.3
1998-10-01,48.9
1998-11-01,68.8
1998-12-01,86.4
1999-01-01,59.6
1999-02-01,67
1999-03-01,66.6
1999-04-01,65.2
1999-05-01,101.6
1999-06-01,142.1
1999-07-01,122.9
1999-08-01,98
1999-09-01,77.5
1999-10-01,121.8
1999-11-01,143
1999-12-01,86.5
2000-01-01,93.6
2000-02-01,113.8
2000-03-01,148.6
2000-04-01,134.9
2000-05-01,115.7
2000-06-01,139.8
2000-07-01,175
2000-08-01,126.8
2000-09-01,116.5
2000-10-01,102
2000-11-01,112
2000-12-01,101.2
2001-01-01,102.6
2001-02-01,87.5
2001-03-01,126.1
2001-04-01,120.6
2001-05-01,101.6
2001-06-01,148.4
2001-07-01,86.5
2001-08-01,117.1
2001-09-01,173.3
2001-10-01,139.5
2001-11-01,124.2
2001-12-01,151.5
2002-01-01,120
2002-02-01,114
2002-03-01,96
2002-04-01,125.8
2002-05-01,129.1
2002-06-01,86.7
2002-07-01,108.2
2002-08-01,117.7
2002-09-01,126.2
2002-10-01,103.5
2002-11-01,98.7
2002-12-01,87.7
2003-01-01,85.3
2003-02-01,51.3
2003-03-01,66.1
2003-04-01,64.4
2003-05-01,55.1
2003-06-01,78.2
2003-07-01,83.2
2003-08-01,75.5
2003-09-01,51.5
2003-10-01,70
2003-11-01,60.9
2003-12-01,47.6
2004-01-01,39.4
2004-02-01,50
2004-03-01,50.8
2004-04-01,37.9
2004-05-01,47.4
2004-06-01,41.9
2004-07-01,55.9
2004-08-01,48.5
2004-09-01,32.8
2004-10-01,49.7
2004-11-01,46.7
2004-12-01,18.9
2005-01-01,31.5
2005-02-01,28.3
2005-03-01,24.5
2005-04-01,24.9
2005-05-01,39.7
2005-06-01,38.7
2005-07-01,42.9
2005-08-01,39.2
2005-09-01,24.8
2005-10-01,8.9
2005-11-01,18.7
2005-12-01,50.3
2006-01-01,15.1
2006-02-01,3
2006-03-01,9.9
2006-04-01,32.2
2006-05-01,22.6
2006-06-01,14.7
2006-07-01,13.9
2006-08-01,13.3
2006-09-01,14.7
2006-10-01,9.6
2006-11-01,21.5
2006-12-01,13.5
2007-01-01,19.5
2007-02-01,11.2
2007-03-01,3.7
2007-04-01,3.6
2007-05-01,12.5
2007-06-01,12.8
2007-07-01,10.1
2007-08-01,6.5
2007-09-01,2.8
2007-10-01,0.9
2007-11-01,1
2007-12-01,10.6
2008-01-01,2.3
2008-02-01,1.6
2008-03-01,9.8
2008-04-01,2.2
2008-05-01,2.5
2008-06-01,3
2008-07-01,0.4
2008-08-01,0.2
2008-09-01,0.5
2008-10-01,2.4
2008-11-01,3.6
2008-12-01,0.5
2009-01-01,1.3
2009-02-01,0.7
2009-03-01,0.3
2009-04-01,0.4
2009-05-01,1.6
2009-06-01,3.2
2009-07-01,3.6
2009-08-01,0
2009-09-01,4.5
2009-10-01,4.5
2009-11-01,3.3
2009-12-01,10.4
2010-01-01,13.3
2010-02-01,19.4
2010-03-01,15.4
2010-04-01,7
2010-05-01,8.4
2010-06-01,11
2010-07-01,15.2
2010-08-01,18.3
2010-09-01,22.8
2010-10-01,21
2010-11-01,20.9
2010-12-01,13.9
2011-01-01,17.7
2011-02-01,29.1
2011-03-01,48
2011-04-01,47.3
2011-05-01,37.3
2011-06-01,35.2
2011-07-01,41.5
2011-08-01,42.4
2011-09-01,73.8
2011-10-01,78.9
2011-11-01,84.6
2011-12-01,65.8
2012-01-01,55.8
2012-02-01,29.2
2012-03-01,53.1
2012-04-01,51.4
