Date,"Temperature, K (100 km)","Temperature, K (150 km)","Temperature, K (200 km)","Temperature, K (250 km)","Temperature, K (300 km)","Temperature, K (350 km)","Temperature, K (400 km)","Temperature, K (450 km)","Temperature, K (500 km)","Temperature, K (550 km)","Temperature, K (600 km)","Temperature, K (650 km)","Temperature, K (700 km)","Temperature, K (750 km)2","Temperature, K (800 km)","Temperature, K (850 km)","Temperature, K (900 km)","Temperature, K (500 km)2","Temperature, K (1000 km)"
01/01/1996,174.1,564.4,671.3,690.8,694.5,695.2,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4
01/02/1996,178.4,564.2,672.2,692.2,696,696.8,696.9,696.9,696.9,696.9,696.9,696.9,696.9,696.9,696.9,696.9,696.9,696.9,696.9
01/03/1996,183.5,552.2,655.9,674.4,677.8,678.4,678.6,678.6,678.6,678.6,678.6,678.6,678.6,678.6,678.6,678.6,678.6,678.6,678.6
01/04/1996,197,555.7,670.5,693.2,697.7,698.7,698.9,698.9,698.9,698.9,698.9,698.9,698.9,698.9,698.9,698.9,698.9,698.9,698.9
01/05/1996,193.1,554.6,666.2,687.6,691.9,692.7,692.9,692.9,692.9,692.9,692.9,692.9,692.9,692.9,692.9,692.9,692.9,692.9,692.9
01/06/1996,182.7,556,657.9,675.7,678.8,679.4,679.5,679.5,679.5,679.5,679.5,679.5,679.5,679.5,679.5,679.5,679.5,679.5,679.5
01/07/1996,181.2,562.2,661.6,678.4,681.3,681.8,681.9,681.9,681.9,681.9,681.9,681.9,681.9,681.9,681.9,681.9,681.9,681.9,681.9
01/08/1996,189.2,570.2,680.7,701.5,705.5,706.3,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5
01/09/1996,191,555.2,661.1,680.3,683.9,684.5,684.7,684.7,684.7,684.7,684.7,684.7,684.7,684.7,684.7,684.7,684.7,684.7,684.7
01/10/1996,195.4,549,656.8,676.9,680.7,681.4,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6
01/11/1996,188.2,553.4,664.9,686.1,690.2,691,691.2,691.2,691.2,691.2,691.2,691.2,691.2,691.2,691.2,691.2,691.2,691.2,691.2
01/12/1996,178.4,569.7,693.1,719,724.6,725.8,726.1,726.2,726.2,726.2,726.2,726.2,726.2,726.2,726.2,726.2,726.2,726.2,726.2
01/01/1997,173.6,566.5,673,692.1,695.6,696.3,696.4,696.5,696.5,696.5,696.5,696.5,696.5,696.5,696.5,696.5,696.5,696.5,696.5
01/02/1997,175.5,560.4,662.4,680.1,683.3,683.8,683.9,684,684,684,684,684,684,684,684,684,684,684,684
01/03/1997,192.4,566.3,682.7,705.9,710.6,711.5,711.8,711.8,711.8,711.8,711.8,711.8,711.8,711.8,711.8,711.8,711.8,711.8,711.8
01/04/1997,199.1,563.1,685.6,711.2,716.7,717.9,718.1,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2
01/05/1997,212.5,577.2,711.5,742.1,749.3,751,751.4,751.5,751.5,751.5,751.5,751.5,751.5,751.5,751.5,751.5,751.5,751.5,751.5
01/06/1997,186.2,563.9,674.8,695.6,699.7,700.5,700.6,700.7,700.7,700.7,700.7,700.7,700.7,700.7,700.7,700.7,700.7,700.7,700.7
01/07/1997,177.7,560.3,656.9,672.6,675.2,675.7,675.8,675.8,675.8,675.8,675.8,675.8,675.8,675.8,675.8,675.8,675.8,675.8,675.8
01/08/1997,182.6,565.4,665.3,681.8,684.6,685.1,685.2,685.2,685.2,685.2,685.2,685.2,685.2,685.2,685.2,685.2,685.2,685.2,685.2
01/09/1997,188.6,578.3,707.7,735.1,741,742.3,742.6,742.7,742.7,742.7,742.7,742.7,742.7,742.7,742.7,742.7,742.7,742.7,742.7
01/10/1997,225.1,601.5,761.5,802.8,813.7,816.6,817.4,817.6,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7
01/11/1997,196.5,590.3,738.8,774.2,782.9,785,785.6,785.7,785.7,785.7,785.7,785.7,785.7,785.7,785.7,785.7,785.7,785.7,785.7
01/12/1997,180.5,600.4,756,794.7,804.6,807.1,807.8,808,808,808,808,808,808,808,808,808,808,808,808
01/01/1998,173.3,599.4,741.9,774.3,781.8,783.6,784.1,784.2,784.2,784.2,784.2,784.2,784.2,784.2,784.2,784.2,784.2,784.2,784.2
01/02/1998,179.8,595.1,729.1,757.7,763.9,765.3,765.6,765.7,765.7,765.7,765.7,765.7,765.7,765.7,765.7,765.7,765.7,765.7,765.7
01/03/1998,194.5,606.3,758.5,794.4,803.1,805.2,805.8,805.9,805.9,806,806,806,806,806,806,806,806,806,806
01/04/1998,188.6,602.2,760.6,798.9,808.3,810.6,811.3,811.4,811.5,811.5,811.5,811.5,811.5,811.5,811.5,811.5,811.5,811.5,811.5
01/05/1998,197,612.5,777.8,819,829.6,832.3,833,833.2,833.3,833.3,833.3,833.3,833.3,833.3,833.3,833.3,833.3,833.3,833.3
01/06/1998,183.3,606.4,752.2,784.5,791.8,793.5,793.9,794,794.1,794.1,794.1,794.1,794.1,794.1,794.1,794.1,794.1,794.1,794.1
01/07/1998,179.6,626.7,789.2,828.6,838.3,840.8,841.4,841.6,841.6,841.6,841.6,841.6,841.6,841.6,841.6,841.6,841.6,841.6,841.6
01/08/1998,195.5,645.1,817.1,859.4,870,872.8,873.5,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7
01/09/1998,203.7,662.5,879.5,946,966.8,973.4,975.5,976.2,976.5,976.6,976.6,976.6,976.6,976.6,976.6,976.6,976.6,976.6,976.6
01/10/1998,214.4,645.6,841.4,895.9,911.3,915.7,917,917.4,917.5,917.6,917.6,917.6,917.6,917.6,917.6,917.6,917.6,917.6,917.6
01/11/1998,189.7,630.4,810.4,856.6,868.7,871.9,872.8,873,873.1,873.1,873.1,873.1,873.1,873.1,873.1,873.1,873.1,873.1,873.1
01/12/1998,188.7,663.1,878.4,943.7,963.9,970.2,972.3,972.9,973.1,973.2,973.2,973.2,973.2,973.2,973.2,973.2,973.2,973.2,973.2
01/01/1999,175.7,668.3,878.7,940.1,958.4,964,965.7,966.2,966.4,966.4,966.4,966.4,966.4,966.4,966.4,966.4,966.4,966.4,966.4
01/02/1999,169.1,633.8,791.6,826.3,834.1,835.9,836.3,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4
01/03/1999,169.1,633.8,791.6,826.3,834.1,835.9,836.3,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4,836.4
01/04/1999,200,628.7,801,843.4,854,856.8,857.5,857.7,857.7,857.7,857.7,857.7,857.7,857.7,857.7,857.7,857.7,857.7,857.7
01/05/1999,207.6,652.5,851.8,907.2,922.9,927.5,928.8,929.2,929.3,929.4,929.4,929.4,929.4,929.4,929.4,929.4,929.4,929.4,929.4
01/06/1999,186,676.4,891.5,953,970.9,976.3,977.9,978.3,978.5,978.6,978.6,978.6,978.6,978.6,978.6,978.6,978.6,978.6,978.6
01/07/1999,180.9,701.1,933.6,1003,1024.1,1030.6,1032.7,1033.4,1033.6,1033.7,1033.7,1033.7,1033.7,1033.7,1033.7,1033.7,1033.7,1033.7,1033.7
01/08/1999,185.2,697.8,925.5,992.2,1012,1018.1,1019.9,1020.5,1020.7,1020.7,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8
01/09/1999,204.8,688.7,919.4,989.3,1010.8,1017.6,1019.7,1020.4,1020.7,1020.7,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8,1020.8
01/10/1999,201.5,662.1,856.9,906.3,919.2,922.6,923.5,923.7,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8
01/11/1999,198.2,682.2,907.8,973.6,993.1,999.1,1000.9,1001.5,1001.6,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7
01/12/1999,181.5,687.6,905.8,966.4,983.7,988.6,990.1,990.5,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7
01/01/2000,191.5,688.9,895,950.3,965.5,969.7,970.9,971.3,971.4,971.4,971.4,971.4,971.4,971.4,971.4,971.4,971.4,971.4,971.4
01/02/2000,179.5,680.2,874.9,923.5,935.8,939,939.9,940.1,940.2,940.2,940.2,940.2,940.2,940.2,940.2,940.2,940.2,940.2,940.2
01/03/2000,198.3,716.8,972.9,1054.3,1080.5,1089.2,1092.1,1093,1093.4,1093.5,1093.5,1093.6,1093.6,1093.6,1093.6,1093.6,1093.6,1093.6,1093.6
01/04/2000,201.5,717,978.4,1061.6,1088.5,1097.4,1100.3,1101.4,1101.7,1101.8,1101.9,1101.9,1101.9,1101.9,1101.9,1101.9,1101.9,1101.9,1101.9
01/05/2000,203.1,707.9,944.7,1012.7,1032.6,1038.6,1040.4,1040.9,1041.1,1041.2,1041.2,1041.2,1041.2,1041.2,1041.2,1041.2,1041.2,1041.2,1041.2
01/06/2000,188.6,702.6,917.9,974.3,989.3,993.4,994.6,994.9,995,995,995,995,995,995,995,995,995,995,995
01/07/2000,181.5,708.4,917.8,970.4,983.9,987.5,988.4,988.7,988.7,988.7,988.8,988.8,988.8,988.8,988.8,988.8,988.8,988.8,988.8
01/08/2000,188.9,695.9,898.1,948.6,961.5,964.9,965.8,966,966.1,966.1,966.1,966.1,966.1,966.1,966.1,966.1,966.1,966.1,966.1
01/09/2000,202.1,696.4,918,979.4,996.7,1001.7,1003.1,1003.5,1003.7,1003.7,1003.7,1003.7,1003.7,1003.7,1003.7,1003.7,1003.7,1003.7,1003.7
01/10/2000,205.6,694.5,937.9,1013.4,1037.2,1044.9,1047.4,1048.2,1048.5,1048.6,1048.6,1048.6,1048.6,1048.6,1048.6,1048.6,1048.6,1048.6,1048.6
01/11/2000,194.8,695.9,938.6,1013,1036.3,1043.7,1046.1,1046.9,1047.1,1047.2,1047.2,1047.3,1047.3,1047.3,1047.3,1047.3,1047.3,1047.3,1047.3
01/12/2000,182.3,696.5,932,1002.9,1024.6,1031.3,1033.5,1034.2,1034.4,1034.5,1034.5,1034.5,1034.5,1034.5,1034.5,1034.5,1034.5,1034.5,1034.5
01/01/2001,171,684.3,894.2,951.2,967,971.4,972.7,973.1,973.2,973.3,973.3,973.3,973.3,973.3,973.3,973.3,973.3,973.3,973.3
01/02/2001,179.5,675.1,878.2,932.9,947.9,952.1,953.3,953.7,953.8,953.8,953.8,953.8,953.8,953.8,953.8,953.8,953.8,953.8,953.8
01/03/2001,184.8,664.7,854.4,901.3,913.1,916.2,917,917.2,917.3,917.3,917.3,917.3,917.3,917.3,917.3,917.3,917.3,917.3,917.3
01/04/2001,216.8,710.8,981.1,1075,1108.2,1120.1,1124.4,1126,1126.6,1126.9,1126.9,1127,1127,1127,1127,1127,1127,1127,1127
01/05/2001,189.4,687.8,921.3,990.6,1011.5,1018,1020,1020.6,1020.8,1020.9,1020.9,1020.9,1020.9,1020.9,1020.9,1020.9,1020.9,1020.9,1020.9
01/06/2001,189.9,673.8,872.1,923.5,937.1,940.8,941.8,942,942.1,942.1,942.2,942.2,942.2,942.2,942.2,942.2,942.2,942.2,942.2
01/07/2001,182,669.8,859.3,907.1,919.4,922.6,923.5,923.7,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8,923.8
01/08/2001,186.3,668.9,842.2,880.7,889.5,891.5,892,892.1,892.1,892.1,892.1,892.1,892.1,892.1,892.1,892.1,892.1,892.1,892.1
01/09/2001,188.6,700.7,927.3,990,1007.8,1012.9,1014.4,1014.8,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015
01/10/2001,226.1,753.6,1036.6,1128,1158,1168,1171.4,1172.6,1173,1173.1,1173.2,1173.2,1173.2,1173.2,1173.2,1173.2,1173.2,1173.2,1173.2
01/11/2001,209.9,746.7,1020.2,1105.5,1132.6,1141.3,1144.2,1145.2,1145.5,1145.6,1145.7,1145.7,1145.7,1145.7,1145.7,1145.7,1145.7,1145.7,1145.7
01/12/2001,183.7,744.3,1003.1,1079,1101.7,1108.6,1110.7,1111.4,1111.6,1111.7,1111.7,1111.7,1111.7,1111.7,1111.7,1111.7,1111.7,1111.7,1111.7
01/01/2002,177.3,749.9,1011.3,1089.4,1113.2,1120.5,1122.8,1123.6,1123.8,1123.9,1123.9,1123.9,1124,1124,1124,1124,1124,1124,1124
01/02/2002,184.4,746.3,1008.8,1088.7,1113.5,1121.3,1123.8,1124.6,1124.9,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
01/03/2002,189.6,720.7,965.3,1036.5,1057.6,1063.9,1065.9,1066.5,1066.7,1066.8,1066.8,1066.8,1066.8,1066.8,1066.8,1066.8,1066.8,1066.8,1066.8
01/04/2002,205.9,712.6,967.9,1047.8,1073.3,1081.6,1084.3,1085.3,1085.6,1085.7,1085.7,1085.7,1085.7,1085.7,1085.7,1085.7,1085.7,1085.7,1085.7
01/05/2002,189.8,684.1,898.3,955.4,970.9,975.2,976.4,976.8,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9
01/06/2002,182.6,685.8,909.4,974.3,993.4,999.2,1000.9,1001.5,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7,1001.7
01/07/2002,188,689.9,894.6,948.2,962.6,966.5,967.6,967.9,968,968,968,968,968,968,968,968,968,968,968
01/08/2002,198,719.8,964.7,1039.4,1062.6,1070,1072.3,1073.1,1073.3,1073.4,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5
01/09/2002,197.3,703,932.1,996.7,1015.3,1020.8,1022.4,1022.9,1023,1023.1,1023.1,1023.1,1023.1,1023.1,1023.1,1023.1,1023.1,1023.1,1023.1
01/10/2002,233.9,701.6,932.9,1000,1019.9,1025.8,1027.6,1028.2,1028.4,1028.5,1028.5,1028.5,1028.5,1028.5,1028.5,1028.5,1028.5,1028.5,1028.5
01/11/2002,194.4,679.3,906.5,973.8,994.1,1000.3,1002.2,1002.9,1003.1,1003.1,1003.2,1003.2,1003.2,1003.2,1003.2,1003.2,1003.2,1003.2,1003.2
01/12/2002,194,683.9,902,964.6,982.9,988.3,990,990.5,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7,990.7
01/01/2003,176.6,652.8,827.2,868.9,879.1,881.7,882.3,882.5,882.5,882.6,882.6,882.6,882.6,882.6,882.6,882.6,882.6,882.6,882.6
01/02/2003,184.8,650.4,830.9,876.8,888.7,891.9,892.7,892.9,893,893,893,893,893,893,893,893,893,893,893
01/03/2003,193.5,639.6,823.9,873,886.3,890,891.1,891.4,891.5,891.5,891.5,891.5,891.5,891.5,891.5,891.5,891.5,891.5,891.5
01/04/2003,205.6,647.4,860.1,925.7,946.3,952.9,955,955.7,955.9,956,956.1,956.1,956.1,956.1,956.1,956.1,956.1,956.1,956.1
01/05/2003,218.6,658.1,878.5,948.5,971.2,978.6,981.1,982,982.3,982.4,982.4,982.4,982.4,982.4,982.4,982.4,982.4,982.4,982.4
01/06/2003,200.1,646.4,829.8,878,891,894.5,895.5,895.8,895.9,895.9,895.9,895.9,895.9,895.9,895.9,895.9,895.9,895.9,895.9
01/07/2003,182.3,645.5,822,866.4,877.8,880.8,881.6,881.8,881.9,881.9,881.9,881.9,881.9,881.9,881.9,881.9,881.9,881.9,881.9
01/08/2003,203.9,642.1,809.8,850.6,860.8,863.4,864,864.2,864.3,864.3,864.3,864.3,864.3,864.3,864.3,864.3,864.3,864.3,864.3
01/09/2003,199.3,624.9,791.2,832,842.2,844.8,845.5,845.6,845.7,845.7,845.7,845.7,845.7,845.7,845.7,845.7,845.7,845.7,845.7
01/10/2003,202.7,637.7,830.8,884.3,899.4,903.7,905,905.4,905.5,905.5,905.5,905.5,905.5,905.5,905.5,905.5,905.5,905.5,905.5
01/11/2003,210.7,679.4,933.2,1023.7,1056.4,1068.5,1072.9,1074.6,1075.3,1075.5,1075.7,1075.7,1075.7,1075.7,1075.7,1075.7,1075.7,1075.7,1075.7
01/12/2003,187.3,658.9,867.1,928.2,946.4,952,953.7,954.2,954.4,954.5,954.5,954.5,954.5,954.5,954.5,954.5,954.5,954.5,954.5
01/01/2004,171.9,662.6,821.3,858.6,867.5,869.7,870.3,870.4,870.5,870.5,870.5,870.5,870.5,870.5,870.5,870.5,870.5,870.5,870.5
01/02/2004,181,613.1,759.8,792.5,800,801.7,802.1,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2,802.2
01/03/2004,198.3,619.6,789.2,833.3,845,848.2,849.1,849.3,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4
01/04/2004,190.1,604.8,772.1,815.2,826.5,829.6,830.4,830.7,830.7,830.7,830.7,830.7,830.7,830.7,830.7,830.7,830.7,830.7,830.7
01/05/2004,197.4,600.3,751.9,787.4,796,798,798.6,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7
01/06/2004,195.7,611.6,766.4,803.6,812.7,815,815.6,815.8,815.8,815.8,815.8,815.8,815.8,815.8,815.8,815.8,815.8,815.8,815.8
01/07/2004,183.2,607.4,738.8,764.9,770.2,771.3,771.5,771.5,771.6,771.6,771.6,771.6,771.6,771.6,771.6,771.6,771.6,771.6,771.6
01/08/2004,184.8,609.1,742.6,769.1,774.5,775.6,775.8,775.9,775.9,775.9,775.9,775.9,775.9,775.9,775.9,775.9,775.9,775.9,775.9
01/09/2004,192.5,600.4,739,768,774.3,775.6,775.9,776,776,776,776,776,776,776,776,776,776,776,776
01/10/2004,192.9,592.5,734.6,765.3,772.2,773.7,774.1,774.1,774.2,774.2,774.2,774.2,774.2,774.2,774.2,774.2,774.2,774.2,774.2
01/11/2004,192.2,615.4,799,851.2,866.2,870.7,872,872.4,872.6,872.6,872.6,872.6,872.6,872.6,872.6,872.6,872.6,872.6,872.6
01/12/2004,188.5,618.4,787.6,831.9,843.7,846.9,847.8,848.1,848.1,848.2,848.2,848.2,848.2,848.2,848.2,848.2,848.2,848.2,848.2
01/01/2005,168.8,637,776.7,807.5,814.4,816,816.3,816.4,816.4,816.4,816.4,816.4,816.4,816.4,816.4,816.4,816.4,816.4,816.4
01/02/2005,176.3,591.3,719.2,745,750.4,751.5,751.7,751.8,751.8,751.8,751.8,751.8,751.8,751.8,751.8,751.8,751.8,751.8,751.8
01/03/2005,190.5,585,712.7,738.7,744.1,745.2,745.5,745.5,745.6,745.6,745.6,745.6,745.6,745.6,745.6,745.6,745.6,745.6,745.6
01/04/2005,191.9,575.8,704,730.2,735.8,736.9,737.2,737.3,737.3,737.3,737.3,737.3,737.3,737.3,737.3,737.3,737.3,737.3,737.3
01/05/2005,208.7,607.7,776.9,822.4,834.9,838.4,839.4,839.7,839.8,839.8,839.8,839.8,839.8,839.8,839.8,839.8,839.8,839.8,839.8
01/06/2005,186.3,601.4,747.5,780.9,788.7,790.5,791,791.1,791.1,791.1,791.1,791.1,791.1,791.1,791.1,791.1,791.1,791.1,791.1
01/07/2005,188.8,609.6,757.4,791.9,800.2,802.2,802.7,802.9,802.9,802.9,802.9,802.9,802.9,802.9,802.9,802.9,802.9,802.9,802.9
01/08/2005,191.1,607.7,756.8,792.2,800.8,802.9,803.4,803.5,803.6,803.6,803.6,803.6,803.6,803.6,803.6,803.6,803.6,803.6,803.6
01/09/2005,200,586.1,718,746.2,752.3,753.7,754,754.1,754.1,754.1,754.1,754.1,754.1,754.1,754.1,754.1,754.1,754.1,754.1
01/10/2005,205.9,575.1,704.1,731.4,737.3,738.6,738.9,739,739,739,739,739,739,739,739,739,739,739,739
01/11/2005,197.8,576.8,711.2,741.1,747.9,749.5,749.9,750,750,750,750,750,750,750,750,750,750,750,750
01/12/2005,193.4,596.6,747.8,785.7,795.3,797.8,798.5,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7,798.7
01/01/2006,161.2,606.7,717.4,737.6,741.3,742,742.2,742.2,742.2,742.2,742.2,742.2,742.2,742.2,742.2,742.2,742.2,742.2,742.2
01/02/2006,173.8,566.6,674.1,693.4,697,697.6,697.8,697.8,697.8,697.8,697.8,697.8,697.8,697.8,697.8,697.8,697.8,697.8,697.8
01/03/2006,187.2,568.7,686.7,710,714.7,715.7,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9
01/04/2006,185.1,563,686.1,711.2,716.5,717.6,717.8,717.9,717.9,717.9,717.9,717.9,717.9,717.9,717.9,717.9,717.9,717.9,717.9
01/05/2006,186,575.3,713.7,745.2,752.6,754.3,754.8,754.9,754.9,754.9,754.9,754.9,754.9,754.9,754.9,754.9,754.9,754.9,754.9
01/06/2006,190.1,579.5,704.5,730.4,735.9,737.1,737.3,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4
01/07/2006,177.5,573.4,686.5,707.9,712,712.9,713,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1
01/08/2006,188.8,573.1,681,700.4,703.9,704.6,704.8,704.8,704.8,704.8,704.8,704.8,704.8,704.8,704.8,704.8,704.8,704.8,704.8
01/09/2006,200.2,575.2,700.3,726.4,732,733.3,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6
01/10/2006,213.8,578.4,715.5,746.9,754.3,756,756.4,756.6,756.6,756.6,756.6,756.6,756.6,756.6,756.6,756.6,756.6,756.6,756.6
01/11/2006,193.2,571.2,701.4,729.6,735.9,737.3,737.6,737.7,737.7,737.7,737.7,737.7,737.7,737.7,737.7,737.7,737.7,737.7,737.7
01/12/2006,181.5,578.5,707.6,735.3,741.3,742.7,743,743.1,743.1,743.1,743.1,743.1,743.1,743.1,743.1,743.1,743.1,743.1,743.1
01/01/2007,178.8,584.3,710.2,736.5,742.2,743.4,743.7,743.8,743.8,743.8,743.8,743.8,743.8,743.8,743.8,743.8,743.8,743.8,743.8
01/02/2007,179.7,577.6,700.9,726.6,732.1,733.3,733.5,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6,733.6
01/03/2007,190.5,566.7,684.2,707.7,712.5,713.5,713.7,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8,713.8
01/04/2007,212.5,573.6,706.4,736.5,743.5,745.1,745.5,745.6,745.7,745.7,745.7,745.7,745.7,745.7,745.7,745.7,745.7,745.7,745.7
01/05/2007,194.3,569,700,729,735.6,737.2,737.5,737.6,737.6,737.6,737.6,737.6,737.6,737.6,737.6,737.6,737.6,737.6,737.6
01/06/2007,186.2,567.4,681.6,703.5,707.9,708.8,708.9,709,709,709,709,709,709,709,709,709,709,709,709
01/07/2007,178,561.9,661.8,678.7,681.6,682.1,682.2,682.2,682.2,682.2,682.2,682.2,682.2,682.2,682.2,682.2,682.2,682.2,682.2
01/08/2007,191.6,564.6,665.9,683.4,686.5,687.1,687.2,687.2,687.2,687.2,687.2,687.2,687.2,687.2,687.2,687.2,687.2,687.2,687.2
01/09/2007,196.4,555.6,660.4,679.4,682.9,683.6,683.7,683.7,683.7,683.7,683.7,683.7,683.7,683.7,683.7,683.7,683.7,683.7,683.7
01/10/2007,199.1,548,653.9,673.4,677,677.7,677.9,677.9,677.9,677.9,677.9,677.9,677.9,677.9,677.9,677.9,677.9,677.9,677.9
01/11/2007,191.4,552.2,662.9,684,688.1,688.9,689.1,689.1,689.2,689.2,689.2,689.2,689.2,689.2,689.2,689.2,689.2,689.2,689.2
01/12/2007,179.3,559.4,668.6,689.1,693,693.8,693.9,694,694,694,694,694,694,694,694,694,694,694,694
01/01/2008,173,565.4,673.1,692.9,696.6,697.4,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5
01/02/2008,187.2,571.9,686.5,709.1,713.7,714.7,714.9,714.9,714.9,714.9,714.9,714.9,714.9,714.9,714.9,714.9,714.9,714.9,714.9
01/03/2008,198.6,567.8,686.2,710.3,715.4,716.4,716.7,716.7,716.7,716.7,716.7,716.7,716.7,716.7,716.7,716.7,716.7,716.7,716.7
01/04/2008,191.3,554.9,671.8,695.3,700.2,701.2,701.4,701.5,701.5,701.5,701.5,701.5,701.5,701.5,701.5,701.5,701.5,701.5,701.5
01/05/2008,187.3,557.1,660.8,679.3,682.7,683.3,683.5,683.5,683.5,683.5,683.5,683.5,683.5,683.5,683.5,683.5,683.5,683.5,683.5
01/06/2008,195.8,556.3,669,690.8,695.2,696,696.2,696.3,696.3,696.3,696.3,696.3,696.3,696.3,696.3,696.3,696.3,696.3,696.3
01/07/2008,178.1,551.4,640.8,654.5,656.7,657.1,657.1,657.1,657.1,657.1,657.1,657.1,657.1,657.1,657.1,657.1,657.1,657.1,657.1
01/08/2008,179.8,544.9,628.9,641,642.8,643.1,643.1,643.2,643.2,643.2,643.2,643.2,643.2,643.2,643.2,643.2,643.2,643.2,643.2
01/09/2008,186.9,541.2,631.8,646,648.3,648.7,648.7,648.7,648.7,648.7,648.7,648.7,648.7,648.7,648.7,648.7,648.7,648.7,648.7
01/10/2008,200.1,549.6,657.8,678.2,682.1,682.8,683,683,683,683,683,683,683,683,683,683,683,683,683
01/11/2008,188.2,547.5,654.3,674.1,677.9,678.7,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8
01/12/2008,173.9,546.4,643.2,659.5,662.3,662.8,662.9,662.9,662.9,662.9,662.9,662.9,662.9,662.9,662.9,662.9,662.9,662.9,662.9
01/01/2009,176.8,561,664.1,682.6,686,686.6,686.7,686.8,686.8,686.8,686.8,686.8,686.8,686.8,686.8,686.8,686.8,686.8,686.8
01/02/2009,173.6,550.7,644.2,659.3,661.8,662.2,662.3,662.3,662.3,662.3,662.3,662.3,662.3,662.3,662.3,662.3,662.3,662.3,662.3
01/03/2009,180.1,546.3,643.8,660.2,663,663.5,663.6,663.6,663.6,663.6,663.6,663.6,663.6,663.6,663.6,663.6,663.6,663.6,663.6
01/04/2009,189.6,548,655.7,675.7,679.5,680.2,680.4,680.4,680.4,680.4,680.4,680.4,680.4,680.4,680.4,680.4,680.4,680.4,680.4
01/05/2009,189,550.7,659.1,679.3,683.1,683.9,684,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1
01/06/2009,180.3,552.2,651.6,668.4,671.4,671.9,672,672,672,672,672,672,672,672,672,672,672,672,672
01/07/2009,176.5,552.7,643.4,657.5,659.7,660.1,660.1,660.1,660.1,660.1,660.1,660.1,660.1,660.1,660.1,660.1,660.1,660.1,660.1
01/08/2009,178.9,548.4,635.8,648.9,650.9,651.2,651.2,651.2,651.2,651.2,651.2,651.2,651.2,651.2,651.2,651.2,651.2,651.2,651.2
01/09/2009,186.9,544.8,638.2,653.2,655.7,656.1,656.2,656.2,656.2,656.2,656.2,656.2,656.2,656.2,656.2,656.2,656.2,656.2,656.2
01/10/2009,191.4,547,653.2,672.6,676.2,676.9,677,677,677,677,677,677,677,677,677,677,677,677,677
01/11/2009,188.3,555.4,670.9,693.7,698.3,699.3,699.5,699.5,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6
01/12/2009,174.2,556,661.1,679.9,683.3,684,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1,684.1
